Date,Time,Digital code,Letter code,Quantity,Name,Value
27.04.2020,00.00,978,EUR,1,Євро,29.3306
28.04.2020,00.00,978,EUR,1,Євро,29.4184
29.04.2020,00.00,978,EUR,1,Євро,29.4274
30.04.2020,00.00,978,EUR,1,Євро,29.2424
01.05.2020,00.00,978,EUR,1,Євро,29.2424
02.05.2020,00.00,978,EUR,1,Євро,29.2424
03.05.2020,00.00,978,EUR,1,Євро,29.2424
04.05.2020,00.00,978,EUR,1,Євро,29.2939
05.05.2020,00.00,978,EUR,1,Євро,29.5078
06.05.2020,00.00,978,EUR,1,Євро,29.2691
07.05.2020,00.00,978,EUR,1,Євро,29.1017
08.05.2020,00.00,978,EUR,1,Євро,28.9117
09.05.2020,00.00,978,EUR,1,Євро,28.9117
10.05.2020,00.00,978,EUR,1,Євро,28.9117
11.05.2020,00.00,978,EUR,1,Євро,28.9117
12.05.2020,00.00,978,EUR,1,Євро,29.0966
13.05.2020,00.00,978,EUR,1,Євро,29.0843
14.05.2020,00.00,978,EUR,1,Євро,29.0291
15.05.2020,00.00,978,EUR,1,Євро,28.7869
16.05.2020,00.00,978,EUR,1,Євро,28.7869
17.05.2020,00.00,978,EUR,1,Євро,28.7869
18.05.2020,00.00,978,EUR,1,Євро,28.7677
19.05.2020,00.00,978,EUR,1,Євро,28.791
20.05.2020,00.00,978,EUR,1,Євро,29.0217
21.05.2020,00.00,978,EUR,1,Євро,29.1403
22.05.2020,00.00,978,EUR,1,Євро,29.4616
23.05.2020,00.00,978,EUR,1,Євро,29.4616
24.05.2020,00.00,978,EUR,1,Євро,29.4616
25.05.2020,00.00,978,EUR,1,Євро,29.1676
26.05.2020,00.00,978,EUR,1,Євро,29.3157
27.05.2020,00.00,978,EUR,1,Євро,29.5084
28.05.2020,00.00,978,EUR,1,Євро,29.7151
29.05.2020,00.00,978,EUR,1,Євро,29.6234
30.05.2020,00.00,978,EUR,1,Євро,29.6234
31.05.2020,00.00,978,EUR,1,Євро,29.6234
01.06.2020,00.00,978,EUR,1,Євро,29.9275
02.06.2020,00.00,978,EUR,1,Євро,29.8043
03.06.2020,00.00,978,EUR,1,Євро,29.9185
04.06.2020,00.00,978,EUR,1,Євро,29.9609
05.06.2020,00.00,978,EUR,1,Євро,29.9975
06.06.2020,00.00,978,EUR,1,Євро,29.9975
07.06.2020,00.00,978,EUR,1,Євро,29.9975
08.06.2020,00.00,978,EUR,1,Євро,29.9975
09.06.2020,00.00,978,EUR,1,Євро,30.1477
10.06.2020,00.00,978,EUR,1,Євро,30.0872
11.06.2020,00.00,978,EUR,1,Євро,30.2859
12.06.2020,00.00,978,EUR,1,Євро,30.1723
13.06.2020,00.00,978,EUR,1,Євро,30.1723
14.06.2020,00.00,978,EUR,1,Євро,30.1723
15.06.2020,00.00,978,EUR,1,Євро,30.2119
16.06.2020,00.00,978,EUR,1,Євро,30.2062
17.06.2020,00.00,978,EUR,1,Євро,30.239
18.06.2020,00.00,978,EUR,1,Євро,30.0681
19.06.2020,00.00,978,EUR,1,Євро,30.0579
20.06.2020,00.00,978,EUR,1,Євро,30.0579
21.06.2020,00.00,978,EUR,1,Євро,30.0579
22.06.2020,00.00,978,EUR,1,Євро,29.9953
23.06.2020,00.00,978,EUR,1,Євро,29.8952
24.06.2020,00.00,978,EUR,1,Євро,30.1227
25.06.2020,00.00,978,EUR,1,Євро,30.0675
26.06.2020,00.00,978,EUR,1,Євро,29.9122
27.06.2020,00.00,978,EUR,1,Євро,29.9122
28.06.2020,00.00,978,EUR,1,Євро,29.9122
29.06.2020,00.00,978,EUR,1,Євро,29.9122
30.06.2020,00.00,978,EUR,1,Євро,29.95
01.07.2020,00.00,978,EUR,1,Євро,29.8677
02.07.2020,00.00,978,EUR,1,Євро,29.9971
03.07.2020,00.00,978,EUR,1,Євро,30.6592
04.07.2020,00.00,978,EUR,1,Євро,30.6592
05.07.2020,00.00,978,EUR,1,Євро,30.6592
06.07.2020,00.00,978,EUR,1,Євро,30.5069
07.07.2020,00.00,978,EUR,1,Євро,30.7226
08.07.2020,00.00,978,EUR,1,Євро,30.409
09.07.2020,00.00,978,EUR,1,Євро,30.4295
10.07.2020,00.00,978,EUR,1,Євро,30.5359
11.07.2020,00.00,978,EUR,1,Євро,30.5359
12.07.2020,00.00,978,EUR,1,Євро,30.5359
