,math,ukr,eng,rating,benefit,result
0,183,184,184,183.6,1,0
1,129,131,144,134.1,0,0
2,151,165,145,153.4,0,0
3,138,156,133,141.89999999999998,0,0
4,142,162,180,159.4,0,0
5,192,182,170,182.4,0,0
6,135,138,129,134.1,0,0
7,170,160,147,160.1,0,0
8,154,161,169,160.6,0,0
9,130,154,134,138.39999999999998,1,0
10,195,176,196,189.6,0,1
11,172,198,189,184.9,0,1
12,149,145,144,146.3,0,0
13,134,136,149,139.1,0,0
14,191,183,195,189.8,0,1
15,181,196,200,191.2,0,1
16,166,147,174,162.7,0,0
17,158,166,150,158.0,0,0
18,185,182,185,184.1,1,0
19,159,171,179,168.6,0,0
20,151,172,142,154.6,0,0
21,123,141,145,135.0,0,0
22,143,167,166,157.1,0,0
23,197,199,188,194.9,0,1
24,169,178,164,170.20000000000002,0,0
25,191,194,183,189.5,0,1
26,156,151,166,157.5,0,0
27,174,193,187,183.6,1,0
28,193,190,186,190.0,0,1
29,133,123,146,133.9,0,0
30,190,181,197,189.4,0,1
31,151,167,150,155.5,0,0
32,164,153,158,158.9,0,0
33,128,156,142,140.60000000000002,0,0
34,185,178,193,185.3,0,1
35,126,152,125,133.5,0,0
36,134,150,140,140.6,1,0
37,197,180,183,187.7,0,1
38,147,166,173,160.5,0,0
39,175,172,185,177.1,0,0
40,177,179,182,179.1,0,0
41,194,183,177,185.6,0,1
42,196,179,194,190.3,0,1
43,178,193,174,181.3,0,0
44,132,154,151,144.29999999999998,0,0
45,171,199,172,179.7,1,0
46,170,156,167,164.89999999999998,0,0
47,139,160,126,141.4,0,0
48,134,136,129,133.1,0,0
49,196,185,199,193.6,0,1
50,171,177,177,174.6,0,0
51,144,163,157,153.6,0,0
52,164,163,166,164.3,0,0
53,132,129,160,139.5,0,0
54,195,175,171,181.8,1,0
55,124,135,157,137.2,0,0
56,144,169,146,152.1,0,0
57,139,131,121,131.2,0,0
58,122,147,136,133.7,0,0
59,156,148,161,155.1,0,0
60,127,133,138,132.1,0,0
61,168,164,170,167.4,0,0
62,150,169,171,162.0,0,0
63,154,177,178,168.1,1,0
64,150,180,143,156.9,0,0
65,150,148,154,150.6,0,0
66,163,158,154,158.8,0,0
67,143,143,141,142.4,0,0
68,153,152,163,155.7,0,0
69,148,142,159,149.5,0,0
70,195,170,196,187.8,0,1
71,156,158,173,161.70000000000002,0,0
72,197,196,193,195.5,1,1
73,198,196,188,194.4,0,1
74,133,144,149,141.1,0,0
75,199,195,173,190.0,0,1
76,168,177,175,172.8,0,0
77,164,172,164,166.4,0,0
78,154,169,157,159.4,0,0
79,159,157,180,164.7,0,0
80,161,177,151,162.8,0,0
81,147,161,154,153.3,1,0
82,124,127,134,127.9,0,0
83,126,149,145,138.6,0,0
84,139,141,157,145.0,0,0
85,169,140,179,163.3,0,0
86,148,142,169,152.5,0,0
87,186,171,192,183.3,0,1
88,152,143,161,152.0,0,0
89,122,133,160,136.70000000000002,0,0
90,194,185,172,184.7,1,1
91,139,143,145,142.0,0,0
92,167,151,161,160.39999999999998,0,0
93,200,191,200,197.3,0,1
94,157,172,156,161.2,0,0
95,142,158,149,148.9,0,0
96,168,175,160,167.7,0,0
97,160,161,168,162.7,0,0
98,174,196,187,184.5,0,1
99,161,157,153,157.4,1,0
100,151,159,174,160.29999999999998,0,0
101,191,174,176,181.4,0,0
102,191,193,177,187.4,0,1
103,170,160,145,159.5,0,0
104,130,120,136,128.8,0,0
105,187,199,195,193.0,0,1
106,183,177,188,182.7,0,0
107,151,142,161,151.3,0,0
108,146,150,160,151.4,1,0
109,166,151,161,160.0,0,0
110,122,131,151,133.39999999999998,0,0
111,145,147,156,148.9,0,0
112,137,126,126,130.39999999999998,0,0
113,148,143,177,155.20000000000002,0,0
114,185,179,178,181.1,0,0
115,131,159,130,139.1,0,0
116,146,177,155,158.0,0,0
117,160,144,143,150.1,1,0
118,120,121,137,125.4,0,0
119,155,157,176,161.9,0,0
120,125,148,120,130.4,0,0
121,198,175,178,185.1,0,1
122,136,147,128,136.9,0,0
123,165,167,145,159.6,0,0
124,124,140,158,139.0,0,0
125,195,178,173,183.3,0,1
126,140,125,156,140.3,1,0
127,192,185,187,188.4,0,1
128,199,177,182,187.3,0,1
